,ds,y,ds,y
0,1996-04,131700.0,1996-04,131700.0
1,1996-05,131300.0,1996-05,131300.0
2,1996-06,131100.0,1996-06,131100.0
3,1996-07,130900.0,1996-07,130900.0
4,1996-08,130800.0,1996-08,130800.0
5,1996-09,130800.0,1996-09,130800.0
6,1996-10,130800.0,1996-10,130800.0
7,1996-11,130700.0,1996-11,130700.0
8,1996-12,130600.0,1996-12,130600.0
9,1997-01,130400.0,1997-01,130400.0
10,1997-02,130300.0,1997-02,130300.0
11,1997-03,130200.0,1997-03,130200.0
12,1997-04,130200.0,1997-04,130200.0
13,1997-05,130100.0,1997-05,130100.0
14,1997-06,130100.0,1997-06,130100.0
15,1997-07,130000.0,1997-07,130000.0
16,1997-08,130000.0,1997-08,130000.0
17,1997-09,130000.0,1997-09,130000.0
18,1997-10,130100.0,1997-10,130100.0
19,1997-11,130200.0,1997-11,130200.0
20,1997-12,130300.0,1997-12,130300.0
21,1998-01,130500.0,1998-01,130500.0
22,1998-02,130700.0,1998-02,130700.0
23,1998-03,131100.0,1998-03,131100.0
24,1998-04,131700.0,1998-04,131700.0
25,1998-05,132200.0,1998-05,132200.0
26,1998-06,132700.0,1998-06,132700.0
27,1998-07,133200.0,1998-07,133200.0
28,1998-08,133700.0,1998-08,133700.0
29,1998-09,134200.0,1998-09,134200.0
30,1998-10,134600.0,1998-10,134600.0
31,1998-11,135100.0,1998-11,135100.0
32,1998-12,135600.0,1998-12,135600.0
33,1999-01,136200.0,1999-01,136200.0
34,1999-02,136700.0,1999-02,136700.0
35,1999-03,137300.0,1999-03,137300.0
36,1999-04,137900.0,1999-04,137900.0
37,1999-05,138400.0,1999-05,138400.0
38,1999-06,139000.0,1999-06,139000.0
39,1999-07,139700.0,1999-07,139700.0
40,1999-08,140500.0,1999-08,140500.0
41,1999-09,141300.0,1999-09,141300.0
42,1999-10,142200.0,1999-10,142200.0
43,1999-11,143200.0,1999-11,143200.0
44,1999-12,144300.0,1999-12,144300.0
45,2000-01,145300.0,2000-01,145300.0
46,2000-02,146300.0,2000-02,146300.0
47,2000-03,147100.0,2000-03,147100.0
48,2000-04,147700.0,2000-04,147700.0
49,2000-05,148000.0,2000-05,148000.0
50,2000-06,148100.0,2000-06,148100.0
51,2000-07,148000.0,2000-07,148000.0
52,2000-08,147700.0,2000-08,147700.0
53,2000-09,147300.0,2000-09,147300.0
54,2000-10,146800.0,2000-10,146800.0
55,2000-11,146200.0,2000-11,146200.0
56,2000-12,145400.0,2000-12,145400.0
57,2001-01,144400.0,2001-01,144400.0
58,2001-02,143500.0,2001-02,143500.0
59,2001-03,142600.0,2001-03,142600.0
60,2001-04,141900.0,2001-04,141900.0
61,2001-05,141300.0,2001-05,141300.0
62,2001-06,140900.0,2001-06,140900.0
63,2001-07,140600.0,2001-07,140600.0
64,2001-08,140500.0,2001-08,140500.0
65,2001-09,140500.0,2001-09,140500.0
66,2001-10,140700.0,2001-10,140700.0
67,2001-11,140800.0,2001-11,140800.0
68,2001-12,141000.0,2001-12,141000.0
69,2002-01,141100.0,2002-01,141100.0
70,2002-02,141400.0,2002-02,141400.0
