,ds,y,ds,y
53,2000-09,109300.0,2000-09,109300.0
54,2000-10,109800.0,2000-10,109800.0
55,2000-11,110300.0,2000-11,110300.0
56,2000-12,110700.0,2000-12,110700.0
57,2001-01,111000.0,2001-01,111000.0
58,2001-02,111200.0,2001-02,111200.0
59,2001-03,111400.0,2001-03,111400.0
60,2001-04,111600.0,2001-04,111600.0
61,2001-05,111800.0,2001-05,111800.0
62,2001-06,112000.0,2001-06,112000.0
63,2001-07,112200.0,2001-07,112200.0
64,2001-08,112500.0,2001-08,112500.0
65,2001-09,112700.0,2001-09,112700.0
66,2001-10,113000.0,2001-10,113000.0
67,2001-11,113200.0,2001-11,113200.0
68,2001-12,113400.0,2001-12,113400.0
69,2002-01,113600.0,2002-01,113600.0
70,2002-02,113800.0,2002-02,113800.0
71,2002-03,114100.0,2002-03,114100.0
72,2002-04,114500.0,2002-04,114500.0
73,2002-05,115000.0,2002-05,115000.0
74,2002-06,115400.0,2002-06,115400.0
75,2002-07,115900.0,2002-07,115900.0
76,2002-08,116400.0,2002-08,116400.0
77,2002-09,116900.0,2002-09,116900.0
78,2002-10,117400.0,2002-10,117400.0
79,2002-11,117900.0,2002-11,117900.0
80,2002-12,118300.0,2002-12,118300.0
81,2003-01,118700.0,2003-01,118700.0
82,2003-02,119200.0,2003-02,119200.0
83,2003-03,119700.0,2003-03,119700.0
84,2003-04,120100.0,2003-04,120100.0
85,2003-05,120500.0,2003-05,120500.0
86,2003-06,120900.0,2003-06,120900.0
87,2003-07,121300.0,2003-07,121300.0
88,2003-08,121700.0,2003-08,121700.0
89,2003-09,122100.0,2003-09,122100.0
90,2003-10,122500.0,2003-10,122500.0
91,2003-11,123200.0,2003-11,123200.0
92,2003-12,124100.0,2003-12,124100.0
93,2004-01,125400.0,2004-01,125400.0
94,2004-02,126900.0,2004-02,126900.0
95,2004-03,128300.0,2004-03,128300.0
96,2004-04,129400.0,2004-04,129400.0
97,2004-05,130200.0,2004-05,130200.0
98,2004-06,130900.0,2004-06,130900.0
99,2004-07,131500.0,2004-07,131500.0
100,2004-08,132300.0,2004-08,132300.0
101,2004-09,132900.0,2004-09,132900.0
102,2004-10,133600.0,2004-10,133600.0
103,2004-11,134100.0,2004-11,134100.0
104,2004-12,134700.0,2004-12,134700.0
105,2005-01,135200.0,2005-01,135200.0
106,2005-02,135600.0,2005-02,135600.0
107,2005-03,136000.0,2005-03,136000.0
108,2005-04,136400.0,2005-04,136400.0
109,2005-05,136900.0,2005-05,136900.0
110,2005-06,137400.0,2005-06,137400.0
111,2005-07,137600.0,2005-07,137600.0
112,2005-08,137600.0,2005-08,137600.0
113,2005-09,137200.0,2005-09,137200.0
114,2005-10,136800.0,2005-10,136800.0
115,2005-11,136300.0,2005-11,136300.0
116,2005-12,135800.0,2005-12,135800.0
117,2006-01,135500.0,2006-01,135500.0
118,2006-02,135200.0,2006-02,135200.0
119,2006-03,135000.0,2006-03,135000.0
120,2006-04,134900.0,2006-04,134900.0
121,2006-05,134700.0,2006-05,134700.0
122,2006-06,134600.0,2006-06,134600.0
123,2006-07,134600.0,2006-07,134600.0
124,2006-08,134800.0,2006-08,134800.0
125,2006-09,135300.0,2006-09,135300.0
126,2006-10,136000.0,2006-10,136000.0
127,2006-11,136700.0,2006-11,136700.0
128,2006-12,137300.0,2006-12,137300.0
129,2007-01,137600.0,2007-01,137600.0
130,2007-02,137600.0,2007-02,137600.0
131,2007-03,137700.0,2007-03,137700.0
132,2007-04,137800.0,2007-04,137800.0
133,2007-05,138100.0,2007-05,138100.0
134,2007-06,138600.0,2007-06,138600.0
135,2007-07,139100.0,2007-07,139100.0
136,2007-08,139500.0,2007-08,139500.0
137,2007-09,139800.0,2007-09,139800.0
138,2007-10,139900.0,2007-10,139900.0
139,2007-11,139800.0,2007-11,139800.0
140,2007-12,139400.0,2007-12,139400.0
141,2008-01,138800.0,2008-01,138800.0
142,2008-02,138000.0,2008-02,138000.0
143,2008-03,137000.0,2008-03,137000.0
144,2008-04,136200.0,2008-04,136200.0
145,2008-05,135300.0,2008-05,135300.0
146,2008-06,134400.0,2008-06,134400.0
147,2008-07,133600.0,2008-07,133600.0
148,2008-08,132800.0,2008-08,132800.0
149,2008-09,132100.0,2008-09,132100.0
150,2008-10,131400.0,2008-10,131400.0
151,2008-11,130700.0,2008-11,130700.0
152,2008-12,130000.0,2008-12,130000.0
153,2009-01,129500.0,2009-01,129500.0
154,2009-02,128800.0,2009-02,128800.0
155,2009-03,128100.0,2009-03,128100.0
156,2009-04,127300.0,2009-04,127300.0
157,2009-05,126500.0,2009-05,126500.0
158,2009-06,125700.0,2009-06,125700.0
159,2009-07,125100.0,2009-07,125100.0
160,2009-08,124800.0,2009-08,124800.0
161,2009-09,124700.0,2009-09,124700.0
162,2009-10,124700.0,2009-10,124700.0
163,2009-11,124800.0,2009-11,124800.0
164,2009-12,124900.0,2009-12,124900.0
165,2010-01,125100.0,2010-01,125100.0
166,2010-02,125200.0,2010-02,125200.0
167,2010-03,125200.0,2010-03,125200.0
168,2010-04,125100.0,2010-04,125100.0
169,2010-05,125100.0,2010-05,125100.0
170,2010-06,124800.0,2010-06,124800.0
171,2010-07,124100.0,2010-07,124100.0
172,2010-08,123300.0,2010-08,123300.0
173,2010-09,122700.0,2010-09,122700.0
174,2010-10,121700.0,2010-10,121700.0
175,2010-11,120700.0,2010-11,120700.0
176,2010-12,119700.0,2010-12,119700.0
177,2011-01,118900.0,2011-01,118900.0
178,2011-02,118200.0,2011-02,118200.0
179,2011-03,117900.0,2011-03,117900.0
180,2011-04,117500.0,2011-04,117500.0
181,2011-05,117000.0,2011-05,117000.0
182,2011-06,116200.0,2011-06,116200.0
183,2011-07,115600.0,2011-07,115600.0
184,2011-08,115100.0,2011-08,115100.0
185,2011-09,114700.0,2011-09,114700.0
186,2011-10,114400.0,2011-10,114400.0
187,2011-11,114300.0,2011-11,114300.0
188,2011-12,113900.0,2011-12,113900.0
189,2012-01,113500.0,2012-01,113500.0
190,2012-02,114000.0,2012-02,114000.0
191,2012-03,114600.0,2012-03,114600.0
192,2012-04,114700.0,2012-04,114700.0
193,2012-05,114600.0,2012-05,114600.0
194,2012-06,115200.0,2012-06,115200.0
195,2012-07,115900.0,2012-07,115900.0
196,2012-08,116000.0,2012-08,116000.0
197,2012-09,115800.0,2012-09,115800.0
198,2012-10,115800.0,2012-10,115800.0
199,2012-11,116100.0,2012-11,116100.0
200,2012-12,116500.0,2012-12,116500.0
201,2013-01,116700.0,2013-01,116700.0
202,2013-02,116600.0,2013-02,116600.0
203,2013-03,116100.0,2013-03,116100.0
204,2013-04,115900.0,2013-04,115900.0
205,2013-05,116300.0,2013-05,116300.0
206,2013-06,117200.0,2013-06,117200.0
207,2013-07,117900.0,2013-07,117900.0
208,2013-08,118700.0,2013-08,118700.0
209,2013-09,119700.0,2013-09,119700.0
210,2013-10,120200.0,2013-10,120200.0
211,2013-11,120200.0,2013-11,120200.0
212,2013-12,120700.0,2013-12,120700.0
213,2014-01,121600.0,2014-01,121600.0
214,2014-02,122100.0,2014-02,122100.0
215,2014-03,122900.0,2014-03,122900.0
216,2014-04,123900.0,2014-04,123900.0
217,2014-05,124900.0,2014-05,124900.0
218,2014-06,126200.0,2014-06,126200.0
219,2014-07,127800.0,2014-07,127800.0
220,2014-08,129000.0,2014-08,129000.0
221,2014-09,129900.0,2014-09,129900.0
222,2014-10,130800.0,2014-10,130800.0
223,2014-11,132000.0,2014-11,132000.0
224,2014-12,133000.0,2014-12,133000.0
225,2015-01,134000.0,2015-01,134000.0
226,2015-02,134800.0,2015-02,134800.0
227,2015-03,135800.0,2015-03,135800.0
228,2015-04,137200.0,2015-04,137200.0
229,2015-05,138400.0,2015-05,138400.0
230,2015-06,139100.0,2015-06,139100.0
231,2015-07,139800.0,2015-07,139800.0
232,2015-08,140500.0,2015-08,140500.0
233,2015-09,140700.0,2015-09,140700.0
234,2015-10,140900.0,2015-10,140900.0
235,2015-11,141500.0,2015-11,141500.0
236,2015-12,142600.0,2015-12,142600.0
237,2016-01,143900.0,2016-01,143900.0
238,2016-02,145100.0,2016-02,145100.0
239,2016-03,145900.0,2016-03,145900.0
240,2016-04,146600.0,2016-04,146600.0
241,2016-05,147800.0,2016-05,147800.0
242,2016-06,149100.0,2016-06,149100.0
243,2016-07,150100.0,2016-07,150100.0
244,2016-08,151300.0,2016-08,151300.0
245,2016-09,153100.0,2016-09,153100.0
246,2016-10,155600.0,2016-10,155600.0
247,2016-11,157700.0,2016-11,157700.0
248,2016-12,158700.0,2016-12,158700.0
249,2017-01,159100.0,2017-01,159100.0
250,2017-02,160100.0,2017-02,160100.0
251,2017-03,161500.0,2017-03,161500.0
252,2017-04,163100.0,2017-04,163100.0
253,2017-05,164700.0,2017-05,164700.0
254,2017-06,165400.0,2017-06,165400.0
255,2017-07,165800.0,2017-07,165800.0
256,2017-08,166600.0,2017-08,166600.0
257,2017-09,167600.0,2017-09,167600.0
258,2017-10,168400.0,2017-10,168400.0
259,2017-11,169000.0,2017-11,169000.0
260,2017-12,169800.0,2017-12,169800.0
261,2018-01,170800.0,2018-01,170800.0
262,2018-02,171800.0,2018-02,171800.0
263,2018-03,172500.0,2018-03,172500.0
264,2018-04,172900.0,2018-04,172900.0
