,ds,y,ds,y
0,1996-04,101600.0,1996-04,101600.0
1,1996-05,101300.0,1996-05,101300.0
2,1996-06,100800.0,1996-06,100800.0
3,1996-07,100300.0,1996-07,100300.0
4,1996-08,99800.0,1996-08,99800.0
5,1996-09,99200.0,1996-09,99200.0
6,1996-10,98600.0,1996-10,98600.0
7,1996-11,98100.0,1996-11,98100.0
8,1996-12,97600.0,1996-12,97600.0
9,1997-01,97100.0,1997-01,97100.0
10,1997-02,96700.0,1997-02,96700.0
11,1997-03,96300.0,1997-03,96300.0
12,1997-04,96000.0,1997-04,96000.0
13,1997-05,95900.0,1997-05,95900.0
14,1997-06,95900.0,1997-06,95900.0
15,1997-07,95900.0,1997-07,95900.0
16,1997-08,96000.0,1997-08,96000.0
17,1997-09,96100.0,1997-09,96100.0
18,1997-10,96200.0,1997-10,96200.0
19,1997-11,96300.0,1997-11,96300.0
20,1997-12,96400.0,1997-12,96400.0
21,1998-01,96500.0,1998-01,96500.0
22,1998-02,96500.0,1998-02,96500.0
23,1998-03,96500.0,1998-03,96500.0
24,1998-04,96500.0,1998-04,96500.0
25,1998-05,96700.0,1998-05,96700.0
26,1998-06,96800.0,1998-06,96800.0
27,1998-07,97100.0,1998-07,97100.0
28,1998-08,97400.0,1998-08,97400.0
29,1998-09,98000.0,1998-09,98000.0
30,1998-10,98600.0,1998-10,98600.0
31,1998-11,99400.0,1998-11,99400.0
32,1998-12,100500.0,1998-12,100500.0
33,1999-01,101500.0,1999-01,101500.0
34,1999-02,102400.0,1999-02,102400.0
35,1999-03,103300.0,1999-03,103300.0
36,1999-04,104000.0,1999-04,104000.0
37,1999-05,104700.0,1999-05,104700.0
38,1999-06,105100.0,1999-06,105100.0
39,1999-07,105500.0,1999-07,105500.0
40,1999-08,105700.0,1999-08,105700.0
41,1999-09,106000.0,1999-09,106000.0
42,1999-10,106200.0,1999-10,106200.0
43,1999-11,106300.0,1999-11,106300.0
44,1999-12,106500.0,1999-12,106500.0
45,2000-01,106700.0,2000-01,106700.0
46,2000-02,106800.0,2000-02,106800.0
47,2000-03,106900.0,2000-03,106900.0
48,2000-04,107100.0,2000-04,107100.0
49,2000-05,107400.0,2000-05,107400.0
50,2000-06,107800.0,2000-06,107800.0
51,2000-07,108300.0,2000-07,108300.0
52,2000-08,108800.0,2000-08,108800.0
